ベルダーキャノン,LV1,80,0
,LV2,90,0
,LV3,100,0
,LV4,110,0
,LV5,120,0
,LV6,160,0
,LV7,180,0
サージュキャノン,LV8,200,0
ソフォスキャノン,LV9,240,0
,LV10,270,0
,LV11,320,0
アルバレスト,LV1,90,0
,LV2,100,0
,LV3,110,0
,LV4,120,0
,LV5,130,0
,LV6,140,0
,LV7,170,0
Ｓ・アルバレスト,LV8,190,0
Ｘ・アルバレスト,LV9,220,0
,LV10,250,0
,LV11,310,0
ボーンシューター,LV1,70,0
,LV2,80,0
,LV3,90,0
,LV4,100,0
,LV5,120,0
,LV6,150,0
,LV7,170,0
ボーンバスター,LV8,180,0
ボーンブラスター,LV9,220,0
,LV10,250,0
,LV11,310,0
インジェクションガン,LV1,100,0
,LV2,110,0
,LV3,130,0
,LV4,170,0
ゼクトインジェクト,LV5,190,0
トリパノフォビア,LV6,230,0
,LV7,270,0
,LV8,320,0
サンドダイバー,LV1,90,0
,LV2,100,0
,LV3,120,0
,LV4,150,0
,LV5,180,0
デザートダイバー,LV6,190,0
深沙重弩ドスガレオス,LV7,230,0
,LV8,310,0
ガウプシカ,LV1,100,0
,LV2,110,0
,LV3,130,0
,LV4,160,0
ヘビィガウプシカ,LV5,190,0
エクストラガウプシカ,LV6,220,0
,LV7,310,0
リノマリーノ,LV1,80,0
,LV2,100,0
,LV3,140,0
,LV4,180,0
ディープリノマリーノ,LV5,200,0
パープルオクトーバー,LV6,240,0
,LV7,330,0
ユクモノ重弩,LV1,100,0
,LV2,110,0
,LV3,130,0
,LV4,170,0
ユクモノキャノン,LV5,190,0
ユアガリキャノン,LV6,240,10
,LV7,270,10
,LV8,310,20
メテオバズーカ,LV1,100,0
,LV2,110,0
,LV3,120,0
,LV4,150,0
メテオキャノン,LV5,190,0
ギャラクシーキャノン,LV6,250,0
,LV7,300,0
イャンクック砲,LV1,120,0
,LV2,140,0
,LV3,150,0
,LV4,180,0
イャンクック大砲,LV5,200,0
イャンクック大怪砲,LV6,240,0
,LV7,320,0
スレイペンギーゴ,LV1,110,0
,LV2,120,0
,LV3,140,0
,LV4,180,0
スレイペンギング,LV5,200,0
ペングルスカイザー,LV6,240,0
,LV7,320,0
タンクメイジ,LV1,110,0
,LV2,120,0
,LV3,140,0
,LV4,180,0
タンクソーサラー,LV5,200,0
タンクウィザード,LV6,250,0
,LV7,320,0
バスタークラブ,LV1,110,0
,LV2,130,0
,LV3,160,0
,LV4,190,0
ヘビィバスタークラブ,LV5,200,0
不動大名砲,LV6,230,0
,LV7,270,0
,LV8,320,0
キャロムボール,LV1,130,0
,LV2,150,0
,LV3,180,0
転弩エイトボール,LV4,200,0
赤転甲弩ナインボール,LV5,230,0
,LV6,320,0
バイナクルラ,LV1,120,5
,LV2,130,5
,LV3,170,5
眠砲公爵コシュマル,LV4,190,5
眠砲大公イルコシュマ,LV5,250,5
,LV6,290,10
,LV7,320,10
４６式潜伏重砲,LV1,110,0
,LV2,120,0
,LV3,140,0
,LV4,180,0
潜砲ハープール,LV5,200,0
潜砲ボカ＝ハープール,LV6,260,0
,LV7,320,0
アイススロワー,LV1,120,0
,LV2,140,0
,LV3,180,0
エンバースロワー,LV4,200,0
プリマーテスロワー,LV5,260,0
,LV6,280,0
,LV7,320,0
バイトブラスター,LV1,130,0
,LV2,150,0
,LV3,180,0
バイティングブラスト,LV4,200,0
ブレイスブラスト,LV5,250,0
,LV6,310,0
ヒドゥンスナイパー,LV1,110,20
,LV2,120,20
,LV3,150,30
,LV4,180,30
夜砲【黒風】,LV5,190,30
無明砲【正命】,LV6,250,30
,LV7,280,30
,LV8,300,30
ムーファイア,LV1,110,0
,LV2,120,0
,LV3,130,0
,LV4,170,0
雲砲ムーフレイム,LV5,190,0
白雲砲ムーフレア,LV6,250,0
,LV7,310,0
炎妃龍の石重弩,LV1,130,-30
,LV2,150,-30
,LV3,210,-30
炎妃ガルグイユの叫喚,LV4,230,-30
気高き炎妃ガルグリト,LV5,290,-30
,LV6,350,-30
アイルー大砲,LV1,110,0
,LV2,130,0
,LV3,160,0
,LV4,190,0
ネコ獣砲ニャノン,LV5,200,0
獣王砲ニャーティレリ,LV6,240,0
,LV7,320,0
オブシドキャノン,LV1,140,10
,LV2,180,10
,LV3,190,10
歴耀砲カボニフェル,LV4,210,10
エテル＝カボニフェル,LV5,270,15
,LV6,330,15
カホウ【烏】,LV1,140,0
,LV2,160,0
,LV3,200,0
カホウ【狼】,LV4,210,0
カホウ【凶】,LV5,270,0
,LV6,290,0
,LV7,330,0
ラギアブリッツ,LV1,150,0
,LV2,160,0
,LV3,200,0
雷砲ラギアブリッツ,LV4,210,0
豪雷砲ラギアブリッツ,LV5,280,0
,LV6,300,0
,LV7,330,0
王砲ライド,LV1,150,10
,LV2,190,10
