ベルダーバレット,LV1,80,0,0,普通,中,なし,,DCDCCccbbaaaaaaB_____B______C_
,LV2,90,0,0,普通,中,なし,,DDECCccbbAaaaaaB_____B______C_
,LV3,100,0,0,普通,中,なし,,EEFCCccbbAaaaaaB_____B______C_
,LV4,110,0,0,普通,中,なし,,EEFDDccbbAaaaaaB_____B______C_
,LV5,130,0,0,普通,中,なし,,EEFDDccbbBaaaaaB_____C______D_
,LV6,150,0,0,普通,中,なし,,FFGDDcdccBaaaaaB_____CA_____D_
,LV7,190,0,0,普通,中,なし,,FFGEEcdccBaaaaaB_____CA_____D_
サージュバレット,LV8,210,0,0,普通,中,なし,,FFGEECdccBaaaaaB_____CA_____D_
ソフォスバレット,LV9,250,0,1,普通,中,なし,,GGGFECdccBaaaaaB_____CA_____E_
,LV10,290,0,2,普通,中,なし,,HGGFFCdccBaaaaaB_____CA_____E_
,LV11,330,0,3,普通,中,なし,,HGGFFDdccBaaaaaB_____CA_____E_
ハンターライフル,LV1,70,0,0,普通,やや小,なし,,DDECccCccbaaaaaB_______B__C___
,LV2,80,0,0,普通,やや小,なし,,DDECccCccbaaaaaB_______B__C___
,LV3,110,0,0,普通,やや小,なし,,EEFCccCccbaaaaaB_A_____B__CC__
,LV4,120,0,0,普通,やや小,なし,,EEFCccCccbaabaaB_A_____B__CC__
,LV5,140,0,0,普通,やや小,なし,,EEFDccDccbaabaaB_B_____C__DD__
,LV6,170,0,0,普通,やや小,なし,,FFGDCcDCcbaabaaB_B_____CA_DD__
,LV7,200,0,0,普通,やや小,なし,,FFGDCcDCcbaabaaB_CA____CA_DD__
スナイプシューター,LV8,200,0,0,普通,やや小,なし,,FFGDCcDCcbaabaaB_CA____CA_DD__
デヴァイドスナイパー,LV9,230,10,0,普通,やや小,なし,,GFGECcECcbaabaaB_CA____CB_EE__
,LV10,260,10,0,普通,やや小,なし,,GGGEDcECcbaabaaB_CA____DB_EE__
,LV11,320,20,0,普通,やや小,なし,,HGGFEdECcbaabaaB_CA____DB_EE__
クロスボウガン,LV1,80,0,0,普通,大,なし,,DCDcccCccaaaAaaB___B_____C____
,LV2,90,0,0,普通,大,なし,,DDEcccCccaaaAaaB___B_____C____
,LV3,100,0,0,普通,大,なし,,EEFcccDddaaaAaaB___B_____C____
,LV4,110,0,0,普通,大,なし,,EEFcccDddaaaAaaB___B_____C____
,LV5,130,0,0,普通,大,なし,,EEFcccEDdaaaAaaB___C_____D____
,LV6,150,0,0,普通,大,なし,,FFGDdcEDdaaaAaaB___CA____D____
,LV7,200,0,0,普通,大,なし,,FFGDDcFEDaaaAAaB___CA____D____
クロスブリッツ,LV8,220,0,0,普通,大,なし,,FFGDDCFEDaaaAAAB___CA____D____
クロスブリッツァ,LV9,250,0,1,普通,大,なし,,GFGDDCGFDaaaBAAB___CA____E____
,LV10,280,0,1,普通,大,なし,,GGGEDCGGDaaaBBAB___DA____E____
,LV11,340,0,1,普通,大,なし,,HGHEEDHHFaaaCBAB___DA____E____
ショットボウガン・白,LV1,90,10,0,普通,中,なし,防御:10,EFfBbbDEeAaaAaaBA____BA_____C_
,LV2,110,10,0,普通,中,なし,防御:10,EFfCbbDEeAaaAaaBA____BA_____C_
,LV3,120,10,0,普通,中,なし,防御:10,FGgCbbDEeAaaAaaBA____BA_____C_
,LV4,150,10,0,普通,中,なし,防御:10,GHhDccEFfBbbAaaBA____CA_____D_
,LV5,160,10,0,普通,中,なし,防御:10,HIiEddEFfBbbAaaBA____CA_____D_
バレットシャワー・白,LV6,200,10,0,普通,中,なし,防御:10,IIiEddEFfBbbAaaBA____CA_____D_
レインバレッツ・白,LV7,230,15,0,普通,中,なし,防御:15,IJiFddFFfBbbAaaBA____CA_____E_
,LV8,310,15,0,普通,中,なし,防御:15,IKjFddGGfBbbAaaBA____CA_____E_
ストライプシェル,LV1,100,0,0,やや遅い,やや小,左/小,防御:10,FEgcccDDdaaaAaaB__________CC__
,LV2,110,0,0,やや遅い,やや小,左/小,防御:10,FEgcccDEdaaaAaaB__________CC__
,LV3,140,0,0,やや遅い,やや小,左/小,防御:20,FEgcccDFdaaaAaaB__________CC__
,LV4,170,0,0,やや遅い,やや小,左/小,防御:20,GFHdccDFDbaaAAaB__________CC__
蟹甲弩ラーバルザザミ,LV5,200,0,0,やや遅い,やや小,左/小,防御:30,GFHdccDFEbaaAAaB__________CC__
蟹殻弩エルバンザザミ,LV6,230,0,0,やや遅い,やや小,左/小,防御:35,GGHdccEFFbaaAAaB__________DD__
,LV7,320,0,0,やや遅い,やや小,左/小,防御:35,HGHdccEFFbaaAAaB__________DD__
クゥイルバースト,LV1,100,0,0,普通,やや小,なし,,DEbBCccccabbaaa__________C____
,LV2,110,0,0,普通,やや小,なし,,DEbBCccccabbaaa__________C____
,LV3,150,0,0,普通,やや小,なし,,EFbCDCdddAbbaaa____C_____D____
,LV4,170,0,0,普通,やや小,なし,,EFBCDCdddBbbaaa____C_____D____
,LV5,200,0,0,普通,やや小,なし,,EFCCFDdddBBbaaa____CA____D____
キングルバースト,LV6,210,0,0,普通,やや小,なし,,EFCCFEdddBBBaaa____CA____D____
ヴェルデュアキングル,LV7,240,0,1,普通,やや小,なし,,FFDDGEdddCBBaaa____CA____D____
,LV8,270,0,1,普通,やや小,なし,,FFEEGEdddCBBaaa____CA____D____
,LV9,320,0,1,普通,やや小,なし,,FFEEGEdddCBBaaa____CA____D____
クックアンガ―,LV1,120,0,0,やや遅い,中,なし,防御:8,HHFcBbcCcbAaaAa__CA___________
,LV2,130,0,0,やや遅い,中,なし,防御:8,IHFdCccCcbAaaAa__CA___________
,LV3,140,0,0,やや遅い,中,なし,防御:8,IIFeDdcCcbAaaAa__DA___________
,LV4,170,0,0,やや遅い,中,なし,防御:10,IIGfEedDdbBbaAa__DB___________
,LV5,190,0,0,やや遅い,中,なし,防御:10,IIGfFfdDdbBbbBb__DB___________
クックカウンター,LV6,200,0,0,やや遅い,中,なし,防御:12,IIGfFfeEebBbbBb__DB___________
クックリベンジャー,LV7,230,0,0,やや遅い,中,なし,防御:15,IJHfFfeEebBbbBb__DB______D____
,LV8,320,0,0,やや遅い,中,なし,防御:15,IJHfGfeFebBbbBb__DB______D____
ユクモノ弩,LV1,110,0,0,普通,中,なし,,DEdCbbBccAaaaaaB_B___B_B______
,LV2,120,0,0,普通,中,なし,,EEeCbbBccAaaaaaB_B___B_B______
,LV3,140,0,0,普通,中,なし,,EEeCbbBccAaaaaaB_B___B_B______
,LV4,180,0,0,普通,中,なし,,FFfDccCddBbaaaaB_C___C_C______
ユクモノバレット,LV5,200,0,0,普通,中,なし,,GFgDccCddBbaaaaB_C___C_C______
ユアガリバレット,LV6,230,0,2,普通,中,なし,,HFgEccCddBbaaaaB_D___D_D______
,LV7,280,0,2,普通,中,なし,,HGgEccCddBbaaaaB_D___D_D______
